periodo,inflacion_anual,inflacion_anual_dif,inflacion_anual_var,inflacion_mensual,inflacion_mensual_dif,inflacion_mensual_var,tasa_interes,tasa_interes_dif,tasa_interes_var,spread,spread_dif,spread_var
2004-01,6.19,,,0.89,,,7.25,0.0,igual,1.06,,
2004-02,6.28,0.09,subio,1.2,0.31,subio,7.18966,-0.0603,bajo,0.9097,-0.1503,bajo
2004-03,6.21,-0.07,bajo,0.98,-0.22,bajo,6.92742,-0.2622,bajo,0.7174,-0.1923,bajo
2004-04,5.49,-0.72,bajo,0.46,-0.52,bajo,6.75,-0.1774,bajo,1.26,0.5426,subio
2004-05,5.37,-0.12,bajo,0.38,-0.08,bajo,6.75,0.0,igual,1.38,0.12,subio
2004-06,6.08,0.71,subio,0.6,0.22,subio,6.75,0.0,igual,0.67,-0.71,bajo
2004-07,6.18,0.1,subio,-0.03,-0.63,bajo,6.75,0.0,igual,0.57,-0.1,bajo
2004-08,5.89,-0.29,bajo,0.03,0.06,subio,6.75,0.0,igual,0.86,0.29,subio
2004-09,5.98,0.09,subio,0.3,0.27,subio,6.75,0.0,igual,0.77,-0.09,bajo
2004-10,5.9,-0.08,bajo,-0.01,-0.31,bajo,6.75,0.0,igual,0.85,0.08,subio
2004-11,5.82,-0.08,bajo,0.28,0.29,subio,6.75,0.0,igual,0.93,0.08,subio
2004-12,5.5,-0.32,bajo,0.3,0.02,subio,6.65323,-0.0968,bajo,1.1532,0.2232,subio
2005-01,5.44,-0.06,bajo,0.82,0.52,subio,6.5,-0.1532,bajo,1.06,-0.0932,bajo
2005-02,5.24,-0.2,bajo,1.02,0.2,subio,6.5,0.0,igual,1.26,0.2,subio
2005-03,5.03,-0.21,bajo,0.77,-0.25,bajo,6.5,0.0,igual,1.47,0.21,subio
2005-04,5.02,-0.01,bajo,0.44,-0.33,bajo,6.5,0.0,igual,1.48,0.01,subio
2005-05,5.04,0.02,subio,0.41,-0.03,bajo,6.5,0.0,igual,1.46,-0.02,bajo
2005-06,4.81,-0.23,bajo,0.4,-0.01,bajo,6.5,0.0,igual,1.69,0.23,subio
2005-07,4.9,0.09,subio,0.05,-0.35,bajo,6.5,0.0,igual,1.6,-0.09,bajo
2005-08,4.86,-0.04,bajo,0.0,-0.05,bajo,6.5,0.0,igual,1.64,0.04,subio
2005-09,5.01,0.15,subio,0.43,0.43,subio,6.3,-0.2,bajo,1.29,-0.35,bajo
2005-10,5.28,0.27,subio,0.23,-0.2,bajo,6.0,-0.3,bajo,0.72,-0.57,bajo
2005-11,5.09,-0.19,bajo,0.11,-0.12,bajo,6.0,0.0,igual,0.91,0.19,subio
2005-12,4.84,-0.25,bajo,0.07,-0.04,bajo,6.0,0.0,igual,1.16,0.25,subio
2006-01,4.55,-0.29,bajo,0.54,0.47,subio,6.0,0.0,igual,1.45,0.29,subio
