periodo,tasa_interes
2003-01,5.6371
2003-02,6.25
2003-03,6.25
2003-04,6.31667
2003-05,7.25
2003-06,7.25
2003-07,7.25
2003-08,7.25
2003-09,7.25
2003-10,7.25
2003-11,7.25
2003-12,7.25
2004-01,7.25
2004-02,7.18966
2004-03,6.92742
2004-04,6.75
2004-05,6.75
2004-06,6.75
2004-07,6.75
2004-08,6.75
2004-09,6.75
2004-10,6.75
2004-11,6.75
2004-12,6.65323
2005-01,6.5
2005-02,6.5
2005-03,6.5
2005-04,6.5
2005-05,6.5
2005-06,6.5
2005-07,6.5
2005-08,6.5
2005-09,6.3
2005-10,6.0
2005-11,6.0
2005-12,6.0
2006-01,6.0
2006-02,6.0
2006-03,6.0
2006-04,6.0
2006-05,6.24194
2006-06,6.33333
2006-07,6.5
2006-08,6.58065
2006-09,6.75
2006-10,7.00806
2006-11,7.25
2006-12,7.3629
2007-01,7.52419
2007-02,7.77679
2007-03,8.04839
2007-04,8.25
2007-05,8.57258
2007-06,8.85
2007-07,9.01613
2007-08,9.25
2007-09,9.25
2007-10,9.25
2007-11,9.29167
2007-12,9.5
2008-01,9.5
2008-02,9.5431
2008-03,9.75
2008-04,9.75
2008-05,9.75
2008-06,9.75
2008-07,9.78226
2008-08,10.0
2008-09,10.0
2008-10,10.0
2008-11,10.0
2008-12,9.83871
2009-01,9.5
2009-02,9.01786
2009-03,7.77419
2009-04,7.0
2009-05,6.09677
2009-06,4.86667
2009-07,4.5
2009-08,4.5
2009-09,4.45
2009-10,4.0
2009-11,3.88333
2009-12,3.5
2010-01,3.5
2010-02,3.5
2010-03,3.5
2010-04,3.5
2010-05,3.03226
2010-06,3.0
2010-07,3.0
2010-08,3.0
2010-09,3.0
2010-10,3.0
2010-11,3.0
2010-12,3.0
2011-01,3.0
2011-02,3.00893
2011-03,3.33065
2011-04,3.5
2011-05,3.75
2011-06,4.09167
2011-07,4.25
2011-08,4.5
2011-09,4.5
2011-10,4.5
2011-11,4.525
2011-12,4.75
2012-01,4.75806
2012-02,5.02586
2012-03,5.25
2012-04,5.25
2012-05,5.25
2012-06,5.25
2012-07,5.23387
2012-08,4.95968
2012-09,4.75
2012-10,4.75
2012-11,4.70833
2012-12,4.43548
2013-01,4.22581
2013-02,3.96429
2013-03,3.65323
2013-04,3.25
2013-05,3.25
2013-06,3.25
2013-07,3.25
2013-08,3.25
2013-09,3.25
2013-10,3.25
2013-11,3.25
2013-12,3.25
2014-01,3.25
2014-02,3.25
2014-03,3.25
2014-04,3.275
2014-05,3.5
2014-06,3.79167
2014-07,4.0
2014-08,4.25
2014-09,4.5
2014-10,4.5
2014-11,4.5
2014-12,4.5
2015-01,4.5
2015-02,4.5
2015-03,4.5
2015-04,4.5
2015-05,4.5
2015-06,4.5
2015-07,4.5
2015-08,4.5
2015-09,4.525
2015-10,4.75
2015-11,5.225
2015-12,5.58871
2016-01,5.75
2016-02,6.06897
2016-03,6.33065
2016-04,6.5
2016-05,6.99194
2016-06,7.31667
2016-07,7.5
2016-08,7.75
2016-09,7.75
2016-10,7.75
2016-11,7.75
2016-12,7.64516
2017-01,7.5
2017-02,7.48214
2017-03,7.20968
2017-04,7.0
2017-05,6.5
2017-06,6.25
2017-07,5.76613
2017-08,5.5
2017-09,5.25
2017-10,5.23387
2017-11,4.96667
2017-12,4.75
2018-01,4.73387
2018-02,4.5
2018-03,4.5
2018-04,4.49167
2018-05,4.25
2018-06,4.25
2018-07,4.25
2018-08,4.25
2018-09,4.25
2018-10,4.25
2018-11,4.25
2018-12,4.25
2019-01,4.25
2019-02,4.25
2019-03,4.25
2019-04,4.25
2019-05,4.25
2019-06,4.25
2019-07,4.25
2019-08,4.25
2019-09,4.25
2019-10,4.25
2019-11,4.25
2019-12,4.25
2020-01,4.25
2020-02,4.25
2020-03,4.21774
2020-04,3.75
2020-05,3.29839
2020-06,2.75
2020-07,2.5
2020-08,2.26613
2020-09,1.975
2020-10,1.75
2020-11,1.75
2020-12,1.75
2021-01,1.75
2021-02,1.75
2021-03,1.75
2021-04,1.75
2021-05,1.75
2021-06,1.75
2021-07,1.75
2021-08,1.75
2021-09,1.75
2021-10,2.0
2021-11,2.48333
2021-12,2.69355
2022-01,3.03226
2022-02,4.0
2022-03,4.0
2022-04,5.0
2022-05,5.96774
2022-06,6.0
2022-07,7.5
2022-08,9.0
2022-09,9.03333
2022-10,10.0323
2022-11,11.0
2022-12,11.4194
2023-01,12.0484
2023-02,12.75
2023-03,12.7581
2023-04,13.0
2023-05,13.2419
2023-06,13.25
2023-07,13.25
2023-08,13.25
2023-09,13.25
2023-10,13.25
2023-11,13.25
2023-12,13.1532
2024-01,13.0
2024-02,12.75
2024-03,12.6532
2024-04,12.25
2024-05,11.7661
2024-06,11.75
2024-07,11.2661
2024-08,10.75
2024-09,10.75
2024-10,10.25
2024-11,9.75
2024-12,9.67742
2025-01,9.5
2025-02,9.5
2025-03,9.5
2025-04,9.5
2025-05,9.25806
2025-06,9.25
2025-07,9.25
2025-08,9.25
2025-09,9.25
2025-10,9.25
2025-11,9.25
2025-12,9.25
2026-01,9.25
2026-02,10.2143
2026-03,10.25
2026-04,11.25
2026-05,11.25
2026-06,11.25
