periodo,inflacion_mensual,inflacion_anual
2003-01,1.17,
2003-02,1.11,
2003-03,1.05,
2003-04,1.15,
2003-05,0.49,
2003-06,-0.05,
2003-07,-0.14,
2003-08,0.31,
2003-09,0.22,
2003-10,0.06,
2003-11,0.35,
2003-12,0.61,
2004-01,0.89,6.19
2004-02,1.2,6.28
2004-03,0.98,6.21
2004-04,0.46,5.49
2004-05,0.38,5.37
2004-06,0.6,6.08
2004-07,-0.03,6.18
2004-08,0.03,5.89
2004-09,0.3,5.98
2004-10,-0.01,5.9
2004-11,0.28,5.82
2004-12,0.3,5.5
2005-01,0.82,5.44
2005-02,1.02,5.24
2005-03,0.77,5.03
2005-04,0.44,5.02
2005-05,0.41,5.04
2005-06,0.4,4.81
2005-07,0.05,4.9
2005-08,0.0,4.86
2005-09,0.43,5.01
2005-10,0.23,5.28
2005-11,0.11,5.09
2005-12,0.07,4.84
2006-01,0.54,4.55
2006-02,0.66,4.19
2006-03,0.7,4.12
2006-04,0.45,4.11
2006-05,0.33,4.04
2006-06,0.3,3.95
2006-07,0.41,4.33
2006-08,0.39,4.72
2006-09,0.29,4.58
2006-10,-0.14,4.18
2006-11,0.24,4.31
2006-12,0.23,4.48
2007-01,0.77,4.71
2007-02,1.17,5.25
2007-03,1.21,5.78
2007-04,0.9,6.26
2007-05,0.3,6.24
2007-06,0.12,6.02
2007-07,0.17,5.76
2007-08,-0.13,5.22
2007-09,0.08,5.0
2007-10,0.01,5.16
2007-11,0.47,5.43
2007-12,0.49,5.69
2008-01,1.06,6.0
2008-02,1.51,6.35
2008-03,0.81,5.93
2008-04,0.71,5.73
2008-05,0.93,6.39
2008-06,0.86,7.19
2008-07,0.48,7.52
2008-08,0.19,7.87
2008-09,-0.19,7.57
2008-10,0.35,7.94
2008-11,0.28,7.72
2008-12,0.44,7.68
2009-01,0.59,7.17
2009-02,0.84,6.47
2009-03,0.5,6.13
2009-04,0.32,5.73
2009-05,0.01,4.77
2009-06,-0.06,3.81
2009-07,-0.04,3.27
2009-08,0.04,3.12
2009-09,-0.11,3.21
2009-10,-0.13,2.73
2009-11,-0.07,2.37
2009-12,0.08,2.01
2010-01,0.69,2.11
2010-02,0.83,2.09
2010-03,0.25,1.84
2010-04,0.46,1.98
2010-05,0.1,2.07
2010-06,0.11,2.24
2010-07,-0.04,2.24
2010-08,0.11,2.31
2010-09,-0.14,2.27
2010-10,-0.09,2.32
2010-11,0.19,2.59
2010-12,0.65,3.16
2011-01,0.91,3.39
2011-02,0.6,3.17
2011-03,0.27,3.19
2011-04,0.12,2.84
2011-05,0.28,3.02
2011-06,0.32,3.24
2011-07,0.14,3.43
2011-08,-0.03,3.27
2011-09,0.31,3.73
2011-10,0.19,4.02
2011-11,0.14,3.96
2011-12,0.42,3.73
2012-01,0.73,3.55
2012-02,0.61,3.55
2012-03,0.12,3.4
2012-04,0.14,3.42
2012-05,0.3,3.45
2012-06,0.08,3.2
2012-07,-0.02,3.02
2012-08,0.04,3.1
2012-09,0.29,3.09
2012-10,0.16,3.05
2012-11,-0.14,2.78
2012-12,0.09,2.44
2013-01,0.3,1.99
2013-02,0.44,1.83
2013-03,0.21,1.91
