cod_depto,nombre_depto,cod_mpio,nombre_mpio,mesas_informadas_pct,votos_abelardo,votos_cepeda,votos_blanco,votos_nulos,tarjetones_no_marcados
01,ANTIOQUIA,01004,ABEJORRAL,100%,7216,1407,151,59,46
25,NORTE DE SAN,25004,ABREGO,100%,12862,2757,151,64,32
01,ANTIOQUIA,01007,ABRIAQUI,100%,1011,170,20,9,4
52,META,52005,ACACIAS,100%,35790,21726,1034,1439,49
17,CHOCO,17004,ACANDI,100%,2537,2554,62,28,17
19,HUILA,19004,ACEVEDO,100%,11759,2963,198,95,16
05,BOLIVAR,05004,ACHI,100%,7061,2866,65,28,22
19,HUILA,19007,AGRADO,100%,3941,1419,67,35,3
15,CUNDINAMARCA,15004,AGUA DE DIOS,100%,3392,2924,78,71,5
27,SANTANDER,27004,AGUADA,100%,858,144,11,4,2
12,CESAR,12075,AGUACHICA,100%,31013,17595,653,527,47
09,CALDAS,09004,AGUADAS,100%,9417,2232,182,150,35
46,CASANARE,46040,AGUAZUL,100%,14040,7166,375,386,33
12,CESAR,12150,AGUSTIN CODAZZI,100%,12009,17897,309,220,59
19,HUILA,19010,AIPE,100%,6347,3794,137,92,19
15,CUNDINAMARCA,15007,ALBAN,100%,2477,1188,53,66,6
23,NARIÑO,23004,ALBAN (SAN JOSE),100%,2820,2322,95,66,8
27,SANTANDER,27007,ALBANIA,100%,1782,486,17,12,5
44,CAQUETA,44002,ALBANIA,100%,1774,954,62,37,10
48,LA GUAJIRA,48002,ALBANIA,100%,2924,8913,70,103,34
31,VALLE,31004,ALCALA,100%,3737,3132,109,119,26
23,NARIÑO,23007,ALDANA,100%,1304,3495,26,43,6
01,ANTIOQUIA,01010,ALEJANDRIA,100%,2450,504,43,16,11
88,CONSULADOS,88120,ALEMANIA,100%,3957,7900,290,18,0
21,MAGDALENA,21008,ALGARROBO,100%,1357,4539,45,26,11
19,HUILA,19013,ALGECIRAS,100%,8319,4749,503,320,95
11,CAUCA,11004,ALMAGUER,100%,413,9035,174,109,27
29,TOLIMA,29004,ALPUJARRA,100%,1837,495,27,21,3
07,BOYACA,07007,ALMEIDA,100%,818,315,20,16,3
19,HUILA,19016,ALTAMIRA,100%,1343,949,33,11,1
17,CHOCO,17006,ALTO BAUDO (PIE DE PATO),100%,208,6345,9,9,1
05,BOLIVAR,05006,ALTOS DEL ROSARIO,100%,2556,1478,31,16,8
29,TOLIMA,29007,ALVARADO,100%,3087,2376,57,43,13
01,ANTIOQUIA,01013,AMAGA,100%,8746,5478,253,180,34
01,ANTIOQUIA,01016,AMALFI,100%,6352,2147,350,119,49
29,TOLIMA,29010,AMBALEMA,100%,1927,1931,22,18,5
15,CUNDINAMARCA,15010,ANAPOIMA,100%,6234,2976,122,66,13
23,NARIÑO,23010,ANCUYA,100%,770,4003,41,14,1
31,VALLE,31007,ANDALUCIA,100%,4486,7533,151,87,11
01,ANTIOQUIA,01019,ANDES,100%,15574,3773,323,136,41
01,ANTIOQUIA,01022,ANGELOPOLIS,100%,2365,835,64,48,6
01,ANTIOQUIA,01025,ANGOSTURA,100%,3959,1907,278,277,123
01,ANTIOQUIA,01028,ANORI,100%,2820,3849,365,118,56
15,CUNDINAMARCA,15013,ANOLAIMA,100%,5703,2370,135,65,9
09,CALDAS,09007,ANSERMA,100%,11553,5312,379,352,57
31,VALLE,31010,ANSERMANUEVO,100%,5740,3510,152,98,24
01,ANTIOQUIA,01031,ANTIOQUIA,100%,8535,4482,326,135,46
01,ANTIOQUIA,01034,ANZA,100%,2837,582,63,17,17
01,ANTIOQUIA,01035,APARTADO,100%,19891,41593,1115,350,85
29,TOLIMA,29013,ANZOATEGUI,100%,3419,1208,57,25,17
24,RISARALDA,24008,APIA,100%,4430,1785,125,99,21
07,BOYACA,07008,AQUITANIA (PUEBLOVIEJO),100%,7053,1760,83,62,19
15,CUNDINAMARCA,15217,APULO,100%,3282,1606,52,45,6
21,MAGDALENA,21010,ARACATACA,100%,5256,10482,131,89,18
09,CALDAS,09013,ARANZAZU,100%,4905,1156,143,100,28
27,SANTANDER,27010,ARATOCA,100%,4046,1022,60,33,8
40,ARAUCA,40001,ARAUCA,100%,27887,9519,681,386,75
