cod_depto,nombre_depto,cod_mpio,nombre_mpio,mesas_informadas_pct,votos_abelardo_ganador,votos_cepeda_ganador,votos_blanco,votos_nulos,tarjetones_no_marcados
01,Departamento 01,01004,ABEJORRAL,100%,7216,0,0,0,0
01,Departamento 01,01007,ABRIAQUI,100%,1011,0,0,0,0
01,Departamento 01,01010,ALEJANDRIA,100%,2450,0,0,0,0
01,Departamento 01,01013,AMAGA,100%,8746,0,0,0,0
01,Departamento 01,01016,AMALFI,100%,6352,0,0,0,0
01,Departamento 01,01019,ANDES,100%,15574,0,0,0,0
01,Departamento 01,01022,ANGELOPOLIS,100%,2365,0,0,0,0
01,Departamento 01,01025,ANGOSTURA,100%,3959,0,0,0,0
01,Departamento 01,01028,ANORI,100%,0,3849,0,0,0
01,Departamento 01,01031,ANTIOQUIA,100%,8535,0,0,0,0
01,Departamento 01,01034,ANZA,100%,2837,0,0,0,0
01,Departamento 01,01035,APARTADO,100%,0,41593,0,0,0
01,Departamento 01,01037,ARBOLETES,100%,6990,0,0,0,0
01,Departamento 01,01039,ARGELIA,100%,3006,0,0,0,0
01,Departamento 01,01040,ARMENIA,100%,1923,0,0,0,0
01,Departamento 01,01043,BARBOSA,100%,15604,0,0,0,0
01,Departamento 01,01049,BELLO,100%,144162,0,0,0,0
01,Departamento 01,01046,BELMIRA,100%,2509,0,0,0,0
01,Departamento 01,01052,BETANIA,100%,3415,0,0,0,0
01,Departamento 01,01055,BETULIA,100%,5607,0,0,0,0
01,Departamento 01,01058,BOLIVAR,100%,10287,0,0,0,0
01,Departamento 01,01062,BRICEÑO,100%,1588,0,0,0,0
01,Departamento 01,01061,BURITICA,100%,2713,0,0,0,0
01,Departamento 01,01064,CACERES,100%,0,5764,0,0,0
01,Departamento 01,01067,CAICEDO,100%,2788,0,0,0,0
01,Departamento 01,01070,CALDAS,100%,28848,0,0,0,0
01,Departamento 01,01073,CAMPAMENTO,100%,2227,0,0,0,0
01,Departamento 01,01076,CAÑASGORDAS,100%,6839,0,0,0,0
01,Departamento 01,01078,CARACOLI,100%,1658,0,0,0,0
01,Departamento 01,01079,CARAMANTA,100%,2152,0,0,0,0
01,Departamento 01,01080,CAREPA,100%,0,16044,0,0,0
01,Departamento 01,01082,CARMEN DE VIBORAL,100%,23928,0,0,0,0
01,Departamento 01,01085,CAROLINA,100%,1883,0,0,0,0
01,Departamento 01,01088,CAUCASIA,100%,0,24556,0,0,0
01,Departamento 01,01106,CHIGORODO,100%,0,17140,0,0,0
01,Departamento 01,01091,CISNEROS,100%,4575,0,0,0,0
01,Departamento 01,01094,COCORNA,100%,7935,0,0,0,0
01,Departamento 01,01097,CONCEPCION,100%,2546,0,0,0,0
01,Departamento 01,01100,CONCORDIA,100%,6379,0,0,0,0
01,Departamento 01,01103,COPACABANA,100%,28709,0,0,0,0
01,Departamento 01,01109,DABEIBA,100%,5194,0,0,0,0
01,Departamento 01,01112,DON MATIAS,100%,8160,0,0,0,0
01,Departamento 01,01115,EBEJICO,100%,5020,0,0,0,0
01,Departamento 01,01117,EL BAGRE,100%,0,10709,0,0,0
01,Departamento 01,01118,ENTRERRIOS,100%,4749,0,0,0,0
01,Departamento 01,01121,ENVIGADO,100%,126432,0,0,0,0
01,Departamento 01,01124,FREDONIA,100%,6770,0,0,0,0
01,Departamento 01,01127,FRONTINO,100%,4832,0,0,0,0
01,Departamento 01,01130,GIRALDO,100%,1902,0,0,0,0
01,Departamento 01,01133,GIRARDOTA,100%,20635,0,0,0,0
01,Departamento 01,01136,GOMEZ PLATA,100%,4070,0,0,0,0
01,Departamento 01,01139,GRANADA,100%,5316,0,0,0,0
01,Departamento 01,01140,GUADALUPE,100%,0,1804,0,0,0
01,Departamento 01,01142,GUARNE,100%,23505,0,0,0,0
01,Departamento 01,01145,GUATAPE,100%,4816,0,0,0,0
01,Departamento 01,01148,HELICONIA,100%,2438,0,0,0,0
01,Departamento 01,01150,HISPANIA,100%,2242,0,0,0,0
01,Departamento 01,01151,ITAGUI,100%,109001,0,0,0,0
01,Departamento 01,01154,ITUANGO,100%,3067,0,0,0,0
01,Departamento 01,01157,JARDIN,100%,6478,0,0,0,0
01,Departamento 01,01160,JERICO,100%,5634,0,0,0,0
01,Departamento 01,01163,LA CEJA,100%,33830,0,0,0,0
01,Departamento 01,01166,LA ESTRELLA,100%,28378,0,0,0,0
01,Departamento 01,01170,LA PINTADA,100%,2715,0,0,0,0
01,Departamento 01,01169,LA UNION,100%,10805,0,0,0,0
01,Departamento 01,01172,LIBORINA,100%,4466,0,0,0,0
01,Departamento 01,01175,MACEO,100%,3650,0,0,0,0
01,Departamento 01,01178,MARINILLA,100%,28755,0,0,0,0
